yr,i,Value
2017,ppd,237.9282769
2017,res,951.7247754
2017,com,522.8285713
2017,amb,1076.076218
2017,fbp,1533.653055
2017,rec,203.8720435
2017,con,1639.96724
2017,agr,517.376561
2017,eec,310.6450066
2017,fnd,392.5044728
2017,pub,321.7049859
2017,hou,2127.872355
2017,ins,1178.520387
2017,tex,152.8209939
2017,leg,352.6968729
2017,fen,70.59820307
2017,uti,626.4995678
2017,nmp,216.6236272
2017,brd,697.5132818
2017,bnk,769.8555787
2017,ore,1307.065888
2017,edu,393.9034937
2017,ote,264.1694167
2017,man,580.3950646
2017,mch,595.2621951
2017,dat,247.2273594
2017,amd,224.5894855
2017,oil,414.8329289
2017,hos,1093.94611
2017,rnt,374.3605122
2017,pla,360.1352662
2017,fof,91.53439457
2017,fin,183.5585127
2017,tsv,1990.10753
2017,nrs,248.7615233
2017,sec,548.4273241
2017,art,174.6730391
2017,mov,150.8950679
2017,fpd,221.5313947
2017,slg,1764.996565
2017,pri,88.91208366
2017,grd,94.43420431
2017,pip,0.372008141
2017,sle,105.8202879
2017,osv,866.0306969
2017,trn,7.918299673
2017,smn,122.1205268
2017,fmt,500.6517859
2017,pet,751.7396267
2017,cep,774.320088
2017,wst,115.4931241
2017,mot,1155.242245
2017,adm,909.3771705
2017,soc,211.7225456
2017,alt,426.008024
2017,pmt,310.6424952
2017,trk,35.59716518
2017,fdd,597.9266084
2017,wtt,25.20737312
2017,wpd,172.156768
2017,wht,98.26026674
2017,wrh,136.1827829
2017,ott,7.341162182
2017,che,1284.145562
2017,air,203.4305328
2017,mmf,436.370653
2017,otr,235.1590643
2017,min,108.9098624
2017,fbt,0
2017,gmt,0
2017,mvt,0
2016,ppd,234.1394053
2016,res,906.9405783
2016,com,489.7961863
2016,amb,1033.801202
2016,fbp,1478.255858
2016,rec,193.9280984
2016,con,1569.763526
2016,agr,498.3954774
2016,eec,289.3643457
2016,fnd,380.234639
2016,pub,306.4447853
2016,hou,2037.245423
2016,ins,1105.640697
2016,tex,146.5400092
2016,leg,330.9670746
